gradNa_node1_x,gradNa_node1_y,gradNa_node2_x,gradNa_node2_y,gradNa_node3_x,gradNa_node3_y,qpWeight
-1.90980312867646873087e+01,4.01258943461765227312e+01,-1.45799675667425994163e+01,-2.73075622049237480837e+01,3.36779988535072902778e+01,-1.28183321412527675420e+01,4.51852856999999973660e-04
-1.90966799442628207828e+01,4.01253800057282958846e+01,-1.45808872190028484539e+01,-2.73072121720082670038e+01,3.36775671632656710131e+01,-1.28181678337200288809e+01,4.51858648999999977687e-04
-3.36775671632657065402e+01,1.28181678337201034878e+01,1.90966799442628385464e+01,-4.01253800057283385172e+01,1.45808872190028644411e+01,2.73072121720082350294e+01,4.51858648999900014247e-04
-1.90964015017862607237e+01,4.01259014752158549300e+01,-1.45806746198306598217e+01,-2.73068140144327884400e+01,3.36770761216169205454e+01,-1.28190874607830664900e+01,4.51865237499899979803e-04
-1.90960368361997190334e+01,4.01251352295232024403e+01,-1.45803961867310043488e+01,-2.73073990659736409725e+01,3.36764330229307233822e+01,-1.28177361635495596914e+01,4.51873866499999995300e-04
9.46353034041757545936e+00,3.80591029821205921735e+01,-3.14360322393717055434e+01,8.11014237433871443272e+00,2.19725018989541283077e+01,-4.61692453564593066062e+01,3.92718136500000013396e-04
-2.19729388063800570308e+01,4.61674882632690071205e+01,-9.46317018064912396369e+00,-3.80576545419270786397e+01,3.14361089870291756654e+01,-8.10983372134193380987e+00,3.92733082999999975459e-04
9.46436655552274430647e+00,3.80573459031799217200e+01,-3.14358540474800136622e+01,8.10976795247233361863e+00,2.19714874919572693557e+01,-4.61671138556522464569e+01,3.92736267999999988203e-04
9.46317018064914883269e+00,3.80576545419270217963e+01,-3.14361089870292502724e+01,8.10983372134209723470e+00,2.19729388063801067688e+01,-4.61674882632691208073e+01,3.92733082999999975459e-04
-2.19716954401367594585e+01,4.61662776712388165379e+01,-9.46445613060480894774e+00,-3.80577060952606487376e+01,3.14361515707415648535e+01,-8.10857157597817668204e+00,3.92732550999999987032e-04
-3.14370204945615085990e+01,8.11039733305075749570e+00,2.19731926489466609098e+01,-4.61694235621801141178e+01,9.46382784561484768915e+00,3.80590262291293583985e+01,3.92705791000000012381e-04
-2.19736295717941345629e+01,4.61676664657511039991e+01,-9.46346767525036725033e+00,-3.80575777947777993404e+01,3.14370972470445053659e+01,-8.11008867097330465867e+00,3.92720736999999976442e-04
-2.19725018989541993619e+01,4.61692453564593208171e+01,-9.46353034041761276285e+00,-3.80591029821205779626e+01,3.14360322393718085721e+01,-8.11014237433874463079e+00,3.92718136499899995746e-04
9.46325973308645806981e+00,3.80580146913968420108e+01,-3.14364064750935767734e+01,8.10863732544431492499e+00,2.19731467420071204799e+01,-4.61666520168411409486e+01,3.92729366500000026501e-04
-2.19725018989541638348e+01,4.61692453564593137116e+01,-9.46353034041759677564e+00,-3.80591029821205850681e+01,3.14360322393717588341e+01,-8.11014237433872864358e+00,3.92718136500000013396e-04
9.46353034041759677564e+00,3.80591029821205850681e+01,-3.14360322393717588341e+01,8.11014237433872864358e+00,2.19725018989541638348e+01,-4.61692453564593137116e+01,3.92718136500000013396e-04
9.46436655552274430647e+00,3.80573459031799217200e+01,-3.14358540474800136622e+01,8.10976795247233361863e+00,2.19714874919572693557e+01,-4.61671138556522464569e+01,3.92736267999999988203e-04
9.46436655552266792313e+00,3.80573459031801064611e+01,-3.14358540474800882691e+01,8.10976795247239223841e+00,2.19714874919574256751e+01,-4.61671138556524951468e+01,3.92736267999900024762e-04
-2.19716954401369086725e+01,4.61662776712390723333e+01,-9.46445613060473611711e+00,-3.80577060952608405842e+01,3.14361515707416430132e+01,-8.10857157597822997275e+00,3.92732550999900023592e-04
9.46325973308636569925e+00,3.80580146913970196465e+01,-3.14364064750935909842e+01,8.10863732544435578120e+00,2.19731467420072270613e+01,-4.61666520168413754277e+01,3.92729366499900008850e-04
9.46466408532154801492e+00,3.80572691469504320594e+01,-3.14368422914660321510e+01,8.11002289796848252479e+00,2.19721782061444841361e+01,-4.61672920449189234660e+01,3.92723921999999989185e-04
1.09469840745433568685e+01,-5.01801922241408959735e+01,4.62201255919720779275e+01,4.55235897918779297555e+00,-5.71671096665154294669e+01,4.56278332449531092152e+01,2.11044428699999999429e-04
5.61767877579672969546e+01,-4.10882684299932137151e+01,-1.09270743392688594042e+01,5.00889274213054562779e+01,-4.52497134186984482085e+01,-9.00065899131223545737e+00,2.11428963350000000696e-04
1.08510271197270196097e+01,-5.01040540384400188145e+01,4.15633829351564472177e+01,8.26740785876627448658e+00,-5.24144100548834614983e+01,4.18366461796737425516e+01,2.30180974799999992246e-04
1.08336371033960112698e+01,-5.00205864858030366804e+01,4.06829043166323387481e+01,1.23408691696276697769e+01,-5.15165414200283535706e+01,3.76797173161753704562e+01,2.30555073624999994596e-04
5.10275977290372821926e+01,-3.54331123069171454176e+01,-1.12425412358977361293e+01,5.19118501315644422789e+01,-3.97850564931395496160e+01,-1.64787378246472968613e+01,2.22165073500000002579e-04
3.97849724058011204875e+01,1.64787962141509929381e+01,-5.10277785363380473882e+01,3.54332378579067892588e+01,1.12428061305369340062e+01,-5.19120340720577786442e+01,2.22164286299999993047e-04
5.10272048473665620349e+01,-3.54305889319101297019e+01,-1.12426797312683337537e+01,5.19114504416845292667e+01,-3.97845251160982300576e+01,-1.64808615097743995648e+01,2.22166784049899996645e-04
5.10298087558712722966e+01,-3.54323969480874580995e+01,-1.12432534430649031520e+01,5.19118487967755228851e+01,-3.97865553128063709210e+01,-1.64794518486880576802e+01,2.22155447500000004105e-04
1.24763175561745143227e+01,-5.14008271920945531974e+01,3.41841316298743578272e+01,1.41588674880747955598e+01,-4.66604491860488721500e+01,3.72419597040197629667e+01,2.58565877750000004762e-04
4.66604491860488792554e+01,-3.72419597040197771776e+01,-1.24763175561745196518e+01,5.14008271920945816191e+01,-3.41841316298743578272e+01,-1.41588674880748044416e+01,2.58565877749899987112e-04
1.24758910786717152064e+01,-5.14010038365831647411e+01,3.41829631149637336307e+01,1.41583834960297121341e+01,-4.66588541936354488371e+01,3.72426203405534579360e+01,2.58574716599899992117e-04
1.24759752588586607658e+01,-5.14005539880627821958e+01,3.41824705883446569032e+01,1.41601932456016914585e+01,-4.66584458472033176690e+01,3.72403607424610854082e+01,2.58576979599900002704e-04
1.11779551611836236447e+01,-5.18665091276673138054e+01,3.58911509908542214475e+01,1.91842143311228561231e+01,-4.70691061520378468686e+01,3.26822947965444541296e+01,2.40849060599999991112e-04
4.66010256959607644944e+01,-3.05103680981881275613e+01,-1.16135891971216320684e+01,5.38878821225924937721e+01,-3.49874364988391377551e+01,-2.33775140244043697635e+01,2.31814640099999995674e-04
1.28751464658289815901e+01,-5.30449488958962831475e+01,3.23703600259621424584e+01,2.16288651358340153763e+01,-4.52455064917911258249e+01,3.14160837600622571131e+01,2.50556372974900019943e-04
1.33565776543761085549e+01,-5.50290419710620213323e+01,3.13708474714610154876e+01,2.57453473679253654893e+01,-4.47274251258371293716e+01,2.92836946031366629484e+01,2.41525193314900006028e-04
-3.95044221985333621205e+01,-1.96718621986284567527e+01,1.79967918971875988632e+01,-2.55114568755214428109e+01,2.15076303013457632574e+01,4.51833190741498995635e+01,3.67148769499900027007e-04
-2.15084799814197715762e+01,-4.51837421860041743571e+01,3.95059828595595661227e+01,1.96726393548792692911e+01,-1.79975028781397980993e+01,2.55111028311249121714e+01,3.67134265499899977315e-04
-3.95059828595595661227e+01,-1.96726393548792692911e+01,1.79975028781397980993e+01,-2.55111028311249192768e+01,2.15084799814197715762e+01,4.51837421860041743571e+01,3.67134265499899977315e-04
-3.95059828595596087553e+01,-1.96726393548793652144e+01,1.79975028781398158628e+01,-2.55111028311248624334e+01,2.15084799814197964452e+01,4.51837421860042240951e+01,3.67134265499899977315e-04
