x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0.1,0.0,0.08595790388062596,0.0,1.0523132038621946e-11,-0.03135840040035367,0,3,0.08472692146367376,0.0
1.6684e-15,0.1,0.0,0.11093662097118795,-0.0223793066598276,5.562297177756984e-12,1,0,0.0,0.11023061163867812
0.0,1.0,0.0,0.251,-0.007432489916615789,0.008718748992126534,1,4,0.0,0.251
1.0,1.0,0.1255,0.251,0.017523812361149752,0.019581577515060372,2,4,0.1255,0.251
1.0,0.0,0.1255,0.0,0.006648611285320562,-0.009374638568811584,2,3,0.1255,0.0
0.09807850000000001,0.019509,0.08283163630403578,0.02047956606838852,3.000950453847101e-11,-1.9282483595950417e-12,0,0,0.08140604410292249,0.02038221950290317
0.092388,0.0382683,0.07765448826830834,0.039735515136271715,2.6223881573195215e-11,3.723073065120541e-12,0,0,0.0765744168932299,0.03899484603919941
0.083147,0.055557,0.06875895068515092,0.05898693879134953,2.0213702239813e-11,9.95331247977127e-12,0,0,0.06890310350599313,0.05701211174480486
0.0707107,0.0707107,0.05696164653636515,0.0765073309885338,1.4488131614559528e-11,1.0525195298649592e-11,0,0,0.05721931491888153,0.07298242700787017
0.055557,0.083147,0.04307003691792488,0.0912376987398602,1.6147298775859295e-11,2.2423484943856486e-11,0,0,0.04231904173132942,0.09055018174964717
0.0382683,0.092388,0.02812399761751294,0.10233390261419117,3.096829216675534e-12,1.947956162692832e-11,0,0,0.02797140962484932,0.10093983895941117
0.019509,0.09807850000000001,0.01387544849421829,0.10856471897568554,-1.4361179888518205e-12,1.414432069732352e-11,0,0,0.014291160404164232,0.10679670449068454
0.0,0.967857,0.0,0.24597923734108917,-0.018261026667890444,-5.271732295489272e-10,1,0,0.0,0.24592951172152364
0.0,0.935714,0.0,0.24050040860311128,-0.019663942316175548,-1.641686613040871e-11,1,0,0.0,0.24040008597813717
0.0,0.903571,0.0,0.23472244045115076,-0.020534074108764375,-2.5825001859214325e-12,1,0,0.0,0.23463415282086672
0.0,0.871429,0.0,0.22876836350769736,-0.021179575029655805,-1.4293063260728545e-12,1,0,0.0,0.22870916471011327
0.0,0.8392859999999999,0.0,0.22273572825361043,-0.02171064835113617,3.886752031334595e-13,1,0,0.0,0.2226691472617993
0.0,0.807143,0.0,0.21662636275868863,-0.022156584225523936,9.540580131472964e-13,1,0,0.0,0.21652582382063393
0.0,0.775,0.0,0.21039078594185412,-0.022548873207724345,8.427893799511921e-13,1,0,0.0,0.2102954312064657
0.0,0.742857,0.0,0.2040618093451485,-0.0228770898545388,4.583798618451597e-13,1,0,0.0,0.2039898202750772
0.0,0.710714,0.0,0.197695803566603,-0.02324895744281764,1.1115067199973793e-13,1,0,0.0,0.1975804080997993
0.0,0.678571,0.0,0.19127404582104646,-0.02357457354149708,-2.8947157171277387e-13,1,0,0.0,0.19111247660908087
0.0,0.646429,0.0,0.18479070608736947,-0.02389524868304072,-4.3399311921987765e-13,1,0,0.0,0.18458481539718508
0.0,0.614286,0.0,0.17826276808045805,-0.024232616248681157,-4.975325706979561e-13,1,0,0.0,0.17799610426328996
0.0,0.582143,0.0,0.17165603596367873,-0.02453812770093958,-4.161011812886528e-13,1,0,0.0,0.1714020228529768
0.0,0.55,0.0,0.16500187857309356,-0.024887433538437902,-4.005892839664682e-13,1,0,0.0,0.16476840214902175
0.0,0.517857,0.0,0.15839878494443838,-0.025259604912547976,-3.802444470402122e-13,1,0,0.0,0.15812034779494724
0.0,0.485714,0.0,0.1518008924613241,-0.025664734617988016,-3.625277161800611e-13,1,0,0.0,0.1514876193158897
0.0,0.453571,0.0,0.14517899008933455,-0.026114756391288556,-3.3095574891728324e-13,1,0,0.0,0.1448559050870795
0.0,0.421429,0.0,0.13871147242025472,-0.02662192388564822,-2.966672046911256e-13,1,0,0.0,0.13830273091517173
0.0,0.389286,0.0,0.13240148927434348,-0.02720108612921433,-2.545793437169763e-13,1,0,0.0,0.13187107314435795
0.0,0.357143,0.0,0.126125035865698,-0.027819738171082627,-1.7670413743342553e-13,1,0,0.0,0.12562457649568717
0.0,0.325,0.0,0.1202420647314284,-0.02861024318519791,-1.0379370973812029e-13,1,0,0.0,0.11973200208520282
0.0,0.292857,0.0,0.11510565155185759,-0.02948030433139081,6.904199434387692e-15,1,0,0.0,0.11431369616108109
0.0,0.260714,0.0,0.1104523783287732,-0.03041834385290351,2.4705931744861687e-14,1,0,0.0,0.10962541097014213
0.0,0.228571,0.0,0.10664059514238033,-0.0312808615343259,-5.101440103683075e-13,1,0,0.0,0.10602707404086752
0.0,0.196429,0.0,0.10493930001393892,-0.03209315632143527,-1.8590129435835934e-12,1,0,0.0,0.1039033551803486
0.0,0.164286,0.0,0.10540159119409509,-0.03290460883921262,-2.6030566591117577e-12,1,0,0.0,0.10376691917865603
0.0,0.132143,0.0,0.10723548359237611,-0.034547873329434986,-2.9529464810884587e-12,1,0,0.0,0.10585288627179562
0.96875,1.0,0.11975095082016196,0.251,3.5069533987951494e-09,0.03333376267704542,0,4,0.11984970325929864,0.251
0.9375,1.0,0.11466926329012495,0.251,4.72199091351537e-10,0.03145331158403247,0,4,0.11473282243878365,0.251
0.90625,1.0,0.10992365692800377,0.251,8.661771563672414e-10,0.030412386427832592,0,4,0.10987409659534136,0.251
0.875,1.0,0.105256061127875,0.251,1.5694908063077978e-10,0.0296573149100012,0,4,0.10516888228294552,0.251
0.84375,1.0,0.10064765774586704,0.251,2.637072085126383e-09,0.029143178381421567,0,4,0.10059928750795512,0.251
