id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0,0.1,0.0,0.009803880011531874,0.0,-6.669740714587701e-16,-0.0101037221582847,0,3,0.0094121763050331,0.0
1,1.6684e-15,0.1,0.0,0.015365427098004147,-0.0064661437656673,4.002061269187119e-17,1,0,0.0,0.0157810694168702
2,0.0,1.0,0.0,0.05,-0.0038466762281159,0.0046907561571185,1,4,0.0,0.05
3,1.0,1.0,0.025,0.05,0.0036493843131702,0.0048138314486437,2,4,0.025,0.05
4,1.0,0.0,0.025,0.0,0.0036266427665053,-0.005012387653629,2,3,0.025,0.0
5,0.0980784999999999,0.0195089999999999,0.009435399821086321,0.0031767609070811886,-1.856154119295184e-15,2.905661822261152e-16,0,0,0.0094390306411662,0.0031187762238146
6,0.0923879999999999,0.0382682999999999,0.008775995551332016,0.0062583071885455865,-1.8028113724088968e-15,-2.203098814490545e-16,0,0,0.008970903283003,0.0060814852927066
7,0.0831469999999999,0.055557,0.007863677847126382,0.0090148913077428,-9.19837123136702e-16,-4.163336342344337e-16,0,0,0.0080743412444168,0.0087602543822483
8,0.0707107,0.0707107,0.006685978781661106,0.011405574419768527,-9.176687187917308e-16,-3.9985376121265404e-16,0,0,0.0067711246751743,0.01097533544529
9,0.055557,0.0831469999999999,0.005252090393696562,0.01340676870677271,-1.0443408019877173e-15,-5.461058580173705e-16,0,0,0.0053374955101574,0.0131337554206568
10,0.0382682999999999,0.0923879999999999,0.003636716211985913,0.014963688807256403,-6.217492883389685e-16,-4.123898488320177e-16,0,0,0.0036795645221268,0.01463997985194
11,0.0195089999999999,0.0980784999999999,0.001926896442682846,0.015852678148803534,-2.058222299192169e-16,-2.1593241517764428e-16,0,0,0.0018776271374922,0.015521625976753
12,0.0,0.967857,0.0,0.04849732589809719,-0.0076936605483011,4.77048955893622e-18,1,0,0.0,0.0484909756000545
13,0.0,0.935714,0.0,0.04725708828573261,-0.0076953761596601,1.1709383462843448e-17,1,0,0.0,0.0469824717793053
14,0.0,0.903571,0.0,0.045798372111676144,-0.0076982214365405,3.3393426912553537e-17,1,0,0.0,0.0454749989749492
15,0.0,0.871429,0.0,0.044104242744651856,-0.0077018540366166,-2.2117724318704287e-17,1,0,0.0,0.0439691408120495
16,0.0,0.8392859999999999,0.0,0.0424984649871476,-0.0077080139819554,-2.3852447794681098e-17,1,0,0.0,0.0424655746098205
17,0.0,0.807143,0.0,0.04107621935690986,-0.0077148780178348,2.6020852139652106e-18,1,0,0.0,0.0409648884882831
18,0.0,0.775,0.0,0.039602968958206475,-0.0077229346614046,-4.119968255444917e-17,1,0,0.0,0.0394678649791601
19,0.0,0.7428569999999999,0.0,0.03797246060639736,-0.0077292056213942,1.8648277366750682e-17,1,0,0.0,0.0379753504705403
20,0.0,0.7107139999999998,0.0,0.036386037010743166,-0.0077423544451768,-1.951563910473908e-17,1,0,0.0,0.0364860246017281
21,0.0,0.678571,0.0,0.03500931154121645,-0.0077561119784676,1.0842021724855044e-17,1,0,0.0,0.0350028653564471
22,0.0,0.646429,0.0,0.033720650613304315,-0.0077725853874706,1.1709383462843448e-17,1,0,0.0,0.033526881895222
23,0.0,0.614286,0.0,0.032298532483764575,-0.0077995669744053,-1.5178830414797062e-17,1,0,0.0,0.0320592911571049
24,0.0,0.5821429999999999,0.0,0.030688317798194475,-0.0078186487800209,8.673617379884035e-19,1,0,0.0,0.0306013624602146
25,0.0,0.55,0.0,0.02901462259433174,-0.0078485318848509,-2.168404344971009e-17,1,0,0.0,0.0291559084046334
26,0.0,0.517857,0.0,0.027450456183032657,-0.0078838101431201,-1.2576745200831853e-17,1,0,0.0,0.0277254066522916
27,0.0,0.4857139999999999,0.0,0.026098207707036636,-0.0079193148494544,3.008661028647275e-17,1,0,0.0,0.0263131626766943
28,0.0,0.453571,0.0,0.024889136117053567,-0.007974916238552,9.107298248878237e-18,1,0,0.0,0.0249205211906658
29,0.0,0.421429,0.0,0.023610573014593683,-0.0080380588131314,-6.93889390390723e-18,1,0,0.0,0.0235551036166821
30,0.0,0.389286,0.0,0.02215595811867388,-0.0081168289668529,-1.8214596497756478e-17,1,0,0.0,0.02222352239303
31,0.0,0.3571429999999999,0.0,0.020709429772978183,-0.0082052180243816,1.8648277366750682e-17,1,0,0.0,0.0209368268686086
32,0.0,0.325,0.0,0.01951449537955341,-0.0083428212894379,-9.063930161978817e-17,1,0,0.0,0.0196908041538343
33,0.0,0.2928569999999999,0.0,0.018509999277739553,-0.0085189786071224,-1.3010426069826053e-17,1,0,0.0,0.0185182205925692
34,0.0,0.260714,0.0,0.017449188242608216,-0.0087558772141325,-1.691355389077387e-17,1,0,0.0,0.0174411135547961
35,0.0,0.228571,0.0,0.016380216933612246,-0.009032160091434,1.2685165418080403e-17,1,0,0.0,0.016495354438844
36,0.0,0.1964289999999999,0.0,0.015672367941078846,-0.0095468317140927,-2.775557561562892e-17,1,0,0.0,0.015727694916337
37,0.0,0.1642859999999999,0.0,0.015464702342796954,-0.0103089384157058,-3.9681799512969456e-17,1,0,0.0,0.0152383728880739
38,0.0,0.132143,0.0,0.01545886080202763,-0.0113988437582751,-3.707971429900425e-17,1,0,0.0,0.0151809024227972
39,0.96875,1.0,0.023782112989010784,0.05,9.196474936356354e-18,0.0096273063260707,0,4,0.0242482617327961,0.05
40,0.9375,1.0,0.0233656915524989,0.05,5.59974143174308e-18,0.0096262040691189,0,4,0.0234963072359443,0.05
41,0.90625,1.0,0.02282343220394978,0.05,-1.0378297656012917e-17,0.0096243949238846,0,4,0.022743941273573,0.05
42,0.875,1.0,0.022050007617508527,0.05,3.1993493208978996e-18,0.0096218803670484,0,4,0.0219909560186511,0.05
43,0.84375,1.0,0.021244137962639797,0.05,1.1018283987222744e-17,0.0096186104858162,0,4,0.0212373261934678,0.05
44,0.8125,1.0,0.020474561220908072,0.05,-1.6224916104656125e-18,0.0096145107097081,0,4,0.0204826652118426,0.05
45,0.78125,1.0,0.019694172358867945,0.05,1.945528800724721e-18,0.0096097199589551,0,4,0.0197267736684366,0.05
46,0.75,1.0,0.01890573504351778,0.05,-1.0339837066251653e-17,0.0096053880460777,0,4,0.0189693635676632,0.05
47,0.71875,1.0,0.018171184394304873,0.05,1.799765018414097e-17,0.0095982379779315,0,4,0.0182108578064004,0.05
48,0.6875,1.0,0.017522671150800306,0.05,-1.1642361980891953e-17,0.0095912221604221,0,4,0.0174505239243694,0.05
49,0.65625,1.0,0.016936562296905322,0.05,-1.5458880682983018e-17,0.0095834277881274,0,4,0.016688214299964,0.05
50,0.625,1.0,0.016333975278030266,0.05,1.4345852920511266e-17,0.0095736085512121,0,4,0.0159237551185529,0.05
51,0.59375,1.0,0.01559036787750756,0.05,9.913779493782738e-18,0.0095651125974906,0,4,0.0151566412028092,0.05
52,0.5625,1.0,0.014656520113931037,0.05,-7.624990591183212e-18,0.0095548241307071,0,4,0.0143868680478587,0.05
53,0.53125,1.0,0.013667379575053928,0.05,-3.6636769007149456e-17,0.0095439134174065,0,4,0.0136141981421336,0.05
54,0.5,1.0,0.012785116137820296,0.05,2.4836911837627408e-17,0.0095323449849033,0,4,0.0128384064425793,0.05
55,0.46875,1.0,0.011976018740824657,0.05,8.064494811689787e-18,0.0095209486047054,0,4,0.0120597992019715,0.05
56,0.4375,1.0,0.011138048481370788,0.05,-2.314305770135562e-17,0.0095086957738109,0,4,0.0112777679600495,0.05
57,0.40625,1.0,0.010359070111007895,0.05,2.492288568177372e-17,0.0094959767566759,0,4,0.0104921976932953,0.05
58,0.375,1.0,0.00976435624761507,0.05,-9.929978998898976e-18,0.0094840640634143,0,4,0.0097028726464672,0.05
59,0.34375,1.0,0.009191148305035313,0.05,-2.0482421334911457e-17,0.0094699639255134,0,4,0.0089104613268431,0.05
60,0.3125,1.0,0.008356410175110796,0.05,2.6447915563745884e-17,0.0094572402123197,0,4,0.0081143248001922,0.05
61,0.28125,1.0,0.007303512446924287,0.05,-1.0477982845992909e-17,0.0094449364936235,0,4,0.0073146034780502,0.05
62,0.25,1.0,0.006351245754558477,0.05,-8.11711673353796e-18,0.0094320352847406,0,4,0.006511369257054,0.05
63,0.21875,1.0,0.005634349432511954,0.05,9.823994001373784e-18,0.0094224628754506,0,4,0.0057056248042864,0.05
64,0.1875,1.0,0.004987364645785419,0.05,-1.362918363779532e-17,0.0094122407124304,0,4,0.0048966738382765,0.05
65,0.15625,1.0,0.004233438163282699,0.05,1.679809271215127e-17,0.0094030776378338,0,4,0.0040849356714175,0.05
66,0.125,1.0,0.0033494331801193766,0.05,-1.3479470564368122e-17,0.0093955109618288,0,4,0.0032707243258427,0.05
67,0.09375,1.0,0.0024181583466997836,0.05,2.6332904371376514e-17,0.009389357352954,0,4,0.0024549281976511,0.05
68,0.0625,1.0,0.0015465571032109438,0.05,-3.882706385985107e-18,0.0093849276861722,0,4,0.0016375266989293,0.05
69,0.03125,1.0,0.0007424233826895943,0.05,3.87761095341178e-18,0.0093822692638995,0,4,0.0008190441683769,0.05
70,1.0,0.03125,0.025,0.0013383008108576178,0.0072531274741391,8.673617379884035e-19,2,0,0.025,0.0015793017529172
71,1.0,0.0625,0.025,0.0032164639851544052,0.0072532158356196,8.673617379884035e-19,2,0,0.025,0.0031584566873521
72,1.0,0.09375,0.025,0.004925546767481137,0.0072534519464026,3.6429192995512955e-17,2,0,0.025,0.0047372932162894
73,1.0,0.125,0.025,0.006454228243455873,0.0072536310896705,0.0,2,0,0.025,0.0063156432700049
74,1.0,0.15625,0.025,0.007877618831116706,0.0072543899164995,-3.122502256758253e-17,2,0,0.025,0.0078934098655273
75,1.0,0.1875,0.025,0.009333121113741072,0.0072551566630304,1.3444106938820257e-17,2,0,0.025,0.009470369209823
76,1.0,0.21875,0.025,0.011004339841747424,0.0072560020081884,-1.951563910473908e-17,2,0,0.025,0.0110463937650091
77,1.0,0.25,0.025,0.012810536656616023,0.0072567553811397,3.155028321932818e-17,2,0,0.025,0.0126213263779577
78,1.0,0.28125,0.025,0.014450198916165391,0.0072580340840348,-4.250072516143178e-17,2,0,0.025,0.0141952532651704
79,1.0,0.3125,0.025,0.01584701397587196,0.0072593819153296,4.2934406030425976e-17,2,0,0.025,0.0157678647618058
80,1.0,0.34375,0.025,0.01726122896070592,0.0072609871464262,-1.7780915628762273e-17,2,0,0.025,0.0173390397417952
81,1.0,0.375,0.025,0.018877485432312824,0.0072630395096106,3.469446951953615e-18,2,0,0.025,0.0189085995888632
82,1.0,0.40625,0.025,0.020552180110826157,0.007264904866102,4.336808689942018e-19,2,0,0.025,0.020477128290256
