x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0.1,0.0,0.02456089056795463,0.0,1.1684507257147397e-12,-0.014760764083975432,0,3,0.024333165085009045,0.0
1.6684e-15,0.1,0.0,0.03416279809243861,-0.007235973005851898,-3.4429250764375294e-12,1,0,0.0,0.03414897513625852
0.0,1.0,0.0,0.101,-0.0016622601710319007,0.003164744432434436,1,4,0.0,0.101
1.0,1.0,0.0505,0.101,0.007119869486283534,0.009626016630030128,2,4,0.0505,0.101
1.0,0.0,0.0505,0.0,0.0012721235714696667,-0.0033561777135777495,2,3,0.0505,0.0
0.09807850000000001,0.019509,0.022742753211787203,0.006818902707891539,3.3636341867197828e-12,-2.031197259000361e-12,0,0,0.02257888591739466,0.006804368892665571
0.092388,0.0382683,0.020387594566273037,0.01322111868284992,1.2067408704241613e-12,-2.57441247139556e-12,0,0,0.020505727413279363,0.013046566056731069
0.083147,0.055557,0.017628782989049796,0.019162052505635074,-1.5050126943305653e-12,-3.7254518046869745e-12,0,0,0.01790839314917179,0.018726675600996653
0.0707107,0.0707107,0.014568679172953125,0.024346314576177974,-2.8560025438356677e-12,-4.7011574320909855e-12,0,0,0.014674506485254188,0.02359134172447759
0.055557,0.083147,0.011224777495954186,0.028604580500541488,-3.141049052801659e-12,-5.80032159455679e-12,0,0,0.011263646576807436,0.028207129250629348
0.0382683,0.092388,0.007605497616168577,0.031896937700366834,-2.6108999944679523e-12,-5.9446922211214845e-12,0,0,0.007511171019128758,0.031596038527244526
0.019509,0.09807850000000001,0.003775057917664526,0.03405411729909247,-1.5148572500567337e-12,-5.397978288315675e-12,0,0,0.003707229121314065,0.033636521281097516
0.0,0.967857,0.0,0.09915776617526717,-0.005179126836723959,5.879338725936489e-11,1,0,0.0,0.09915042333348097
0.0,0.935714,0.0,0.09734355930049787,-0.005857532129410144,1.9595653225068513e-13,1,0,0.0,0.09705982776097052
0.0,0.903571,0.0,0.09516453319156426,-0.006265903828047288,1.1880253725227166e-13,1,0,0.0,0.09484227289283478
0.0,0.871429,0.0,0.09266519224183867,-0.006559558513786074,-8.459552502948497e-14,1,0,0.0,0.09253972521982223
0.0,0.8392859999999999,0.0,0.09019658613033243,-0.006793877765350838,-1.5847349474351624e-13,1,0,0.0,0.09017198911385955
0.0,0.807143,0.0,0.08785576692753239,-0.006981765469428043,-6.365350954662397e-14,1,0,0.0,0.08774872957621024
0.0,0.775,0.0,0.08540844735398423,-0.007139611281373843,1.6776510736171698e-14,1,0,0.0,0.08527691715200798
0.0,0.742857,0.0,0.08275376012534252,-0.0072502032883357695,-2.8124204354273985e-15,1,0,0.0,0.08276107153002434
0.0,0.710714,0.0,0.08009781098735402,-0.007397740321645763,2.1779453240888813e-14,1,0,0.0,0.08019615447552841
0.0,0.678571,0.0,0.07760654643061571,-0.007511118662266888,-6.841142236035935e-14,1,0,0.0,0.07759365857319238
0.0,0.646429,0.0,0.07515699735085946,-0.00761734034487183,-1.2616557104605522e-13,1,0,0.0,0.07495233988924782
0.0,0.614286,0.0,0.07252875548147131,-0.007728144893026187,-1.6683356085511747e-13,1,0,0.0,0.07227039940664685
0.0,0.582143,0.0,0.06966935329182888,-0.007829406112461157,-1.6212725606479242e-13,1,0,0.0,0.06956813319910657
0.0,0.55,0.0,0.06670186538758571,-0.007940434428415485,-1.6864634688751326e-13,1,0,0.0,0.06682942080197726
0.0,0.517857,0.0,0.06379680054305936,-0.008061227676102957,-1.7005841179695838e-13,1,0,0.0,0.06405985873872015
