id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
0.0,0.1,0.0,0.03556578294956125,2.718839095905423e-05,-9.074772183703672e-17,-0.05066358419274288,0.0,3.0,0.03501546597472789,0.0
1.0,1.6684e-15,0.1,5.4623931646347046e-05,0.05863657232839614,-0.03216043254071458,4.174178364069192e-17,1.0,0.0,0.0,0.05808972253974519
2.0,0.0,1.0,3.2396812457591295e-05,0.1999843762605451,-0.018759038061244283,0.022910685746016013,1.0,4.0,0.0,0.2
3.0,1.0,1.0,0.10001454730445403,0.19995739178557415,0.01787219344472756,0.023363313608055436,2.0,4.0,0.1,0.2
4.0,1.0,0.0,0.09996185443014838,1.5856872778385878e-05,0.01756637058107251,-0.024391319320272473,2.0,3.0,0.1,0.0
5.0,0.09807850000000001,0.019509,0.03483895040699281,0.011293428775388747,1.52655665885959e-16,-1.3877787807814454e-17,0.0,0.0,0.034608113762088936,0.011057457154039056
6.0,0.092388,0.0382683,0.03282282070722431,0.02213219861732796,9.194034422677075e-17,3.469446951953614e-17,0.0,0.0,0.03281266288071611,0.021753746631954483
7.0,0.083147,0.055557,0.029610416968353093,0.03213254315778613,4.6837533851373785e-17,-3.122502256758253e-17,0.0,0.0,0.02965923222070848,0.03163007398820605
8.0,0.0707107,0.0707107,0.02530103753088042,0.04100228566676378,6.331740687315346e-17,1.734723475976807e-18,0.0,0.0,0.025098028186621157,0.04007129926938749
9.0,0.055557,0.083147,0.019985211605671793,0.04843450721818954,3.6158142452391567e-17,1.163891032163189e-16,0.0,0.0,0.0198365802579476,0.04787603726437556
10.0,0.0382683,0.092388,0.013808416086249053,0.05406868923455477,6.472686969738461e-17,1.7542391150815462e-16,0.0,0.0,0.013725054838777263,0.05355952274281745
11.0,0.019509,0.09807850000000001,0.007032516790786758,0.05754716380033642,1.9786689647860453e-17,1.5547459153442134e-16,0.0,0.0,0.007010631995029994,0.05698692082559113
12.0,0.0,0.967857,6.875430699437857e-06,0.19394044450018555,-0.037519707473875404,-7.979727989493311e-17,1.0,0.0,0.0,0.19392602614623367
13.0,0.0,0.935714,1.1855765478685498e-05,0.18790033995173872,-0.037527640460502366,4.510281037539698e-17,1.0,0.0,0.0,0.1878538889502471
14.0,0.0,0.903571,-8.553834049962461e-06,0.18182117235846817,-0.037540754850586035,8.673617379884034e-17,1.0,0.0,0.0,0.1817853825274116
15.0,0.0,0.871429,-3.0164083000272512e-06,0.17574739101110026,-0.037557059839866895,6.938893903907228e-17,1.0,0.0,0.0,0.17572258291791346
16.0,0.0,0.839286,2.229120582342148e-06,0.16972139227436855,-0.03758557706023114,6.591949208711867e-17,1.0,0.0,0.0,0.16966775742797366
17.0,0.0,0.807143,-2.321903593838215e-06,0.1636989580001682,-0.03761725746484103,-2.8796409701215e-16,1.0,0.0,0.0,0.16362307854714925
18.0,0.0,0.775,4.673202056437731e-07,0.15765860525425524,-0.037654748365111776,-9.367506770274757e-17,1.0,0.0,0.0,0.15759136039953975
19.0,0.0,0.742857,8.160131983458996e-06,0.15163157592178322,-0.03768721433444086,9.71445146547012e-17,1.0,0.0,0.0,0.15157585543061622
20.0,0.0,0.710714,8.888280717656016e-06,0.14565049229713622,-0.037749948645309526,-1.5959455978986623e-16,1.0,0.0,0.0,0.1455721259895317
21.0,0.0,0.678571,3.0194350983947515e-06,0.1397050371815567,-0.03781488934713101,1.3530843112619095e-16,1.0,0.0,0.0,0.13959052932617916
22.0,0.0,0.646429,-1.2117234291508794e-06,0.133754400871112,-0.03789313365171852,-1.1102230246251563e-16,1.0,0.0,0.0,0.13363468531071038
23.0,0.0,0.614286,3.359193215146661e-06,0.12779651320306584,-0.038022005830109805,4.163336342344337e-17,1.0,0.0,0.0,0.12770887501662934
24.0,0.0,0.582143,1.1009571608155966e-05,0.12188782499288209,-0.0381119857666958,6.591949208711867e-17,1.0,0.0,0.0,0.12181876771017895
25.0,0.0,0.55,5.877867806702852e-06,0.11606797050626483,-0.038253149459627926,-5.898059818321144e-17,1.0,0.0,0.0,0.11597344852677703
26.0,0.0,0.517857,-5.827372660860419e-06,0.11031632145750336,-0.03841961489058443,5.2041704279304207e-17,1.0,0.0,0.0,0.11018210795802363
27.0,0.0,0.485714,-3.87546606361866e-07,0.10460006718494697,-0.03859167203200088,-4.380176776841437e-17,1.0,0.0,0.0,0.10445696415691996
28.0,0.0,0.453571,9.209179552271962e-06,0.09893898507289123,-0.03885723428239457,1.2836953722228372e-16,1.0,0.0,0.0,0.09880432384500372
29.0,0.0,0.421429,-7.837035809643567e-06,0.09340258016891312,-0.039156666822786325,-1.3877787807814454e-16,1.0,0.0,0.0,0.09325116287953887
30.0,0.0,0.389286,-2.5153654860332608e-05,0.08802105352515355,-0.03952713114472098,2.0816681711721685e-17,1.0,0.0,0.0,0.08782179370555948
31.0,0.0,0.357143,-9.074894478544593e-06,0.08276344914338551,-0.03995890378468141,1.734723475976807e-18,1.0,0.0,0.0,0.0825561703987487
32.0,0.0,0.325,-1.3998796930536628e-06,0.07767713710200042,-0.04061616040823075,6.071532165918825e-17,1.0,0.0,0.0,0.07744903455204652
33.0,0.0,0.292857,-1.5129087842069566e-05,0.07290134654613212,-0.041437662297024655,1.214306433183765e-17,1.0,0.0,0.0,0.07261167845829916
34.0,0.0,0.260714,1.8366510630585253e-05,0.06847774318885058,-0.042541242537806286,4.336808689942017e-17,1.0,0.0,0.0,0.06812599487520353
